# Renewables.ninja Weather (Point API) - 52.911, -1.186 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, t2m in ºC,,,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""t2m"": ""\u00baC""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""52.9107636392098"""," ""lon"": ""-1.185955755858502"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""var_t2m"": ""true"""," ""var_prectotland"": ""false"""," ""var_precsnoland"": ""false"""," ""var_snomas"": ""false"""," ""var_rhoa"": ""false"""," ""var_swgdn"": ""false"""," ""var_swtdn"": ""false"""," ""var_cldtot"": ""false""}}"
time,local_time,t2m,,,,,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 00:00,7.201,,,,,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 01:00,7.466,,,,,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 02:00,7.592,,,,,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 03:00,7.778,,,,,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 04:00,7.849,,,,,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 05:00,7.892,,,,,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 06:00,7.743,,,,,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 07:00,7.371,,,,,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 08:00,7.006,,,,,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 09:00,7.477,,,,,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 10:00,7.863,,,,,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 11:00,8.14,,,,,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 12:00,8.207,,,,,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 13:00,7.935,,,,,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 14:00,7.03,,,,,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 15:00,4.594,,,,,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 16:00,3.038,,,,,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 17:00,2.434,,,,,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 18:00,1.766,,,,,,,,,,,,,,,
01/01/2019 19:00,01/01/2019 19:00,1.262,,,,,,,,,,,,,,,
01/01/2019 20:00,01/01/2019 20:00,0.723,,,,,,,,,,,,,,,
01/01/2019 21:00,01/01/2019 21:00,0.177,,,,,,,,,,,,,,,
01/01/2019 22:00,01/01/2019 22:00,-0.252,,,,,,,,,,,,,,,
01/01/2019 23:00,01/01/2019 23:00,-0.55,,,,,,,,,,,,,,,
02/01/2019 00:00,02/01/2019 00:00,-0.901,,,,,,,,,,,,,,,
02/01/2019 01:00,02/01/2019 01:00,-1.105,,,,,,,,,,,,,,,
02/01/2019 02:00,02/01/2019 02:00,-1.141,,,,,,,,,,,,,,,
02/01/2019 03:00,02/01/2019 03:00,-1.024,,,,,,,,,,,,,,,
02/01/2019 04:00,02/01/2019 04:00,-1.114,,,,,,,,,,,,,,,
02/01/2019 05:00,02/01/2019 05:00,-1.094,,,,,,,,,,,,,,,
02/01/2019 06:00,02/01/2019 06:00,-1.204,,,,,,,,,,,,,,,
02/01/2019 07:00,02/01/2019 07:00,-1.353,,,,,,,,,,,,,,,
02/01/2019 08:00,02/01/2019 08:00,-1.222,,,,,,,,,,,,,,,
02/01/2019 09:00,02/01/2019 09:00,0.718,,,,,,,,,,,,,,,
02/01/2019 10:00,02/01/2019 10:00,2.279,,,,,,,,,,,,,,,
02/01/2019 11:00,02/01/2019 11:00,3.345,,,,,,,,,,,,,,,
02/01/2019 12:00,02/01/2019 12:00,4.578,,,,,,,,,,,,,,,
02/01/2019 13:00,02/01/2019 13:00,4.822,,,,,,,,,,,,,,,
02/01/2019 14:00,02/01/2019 14:00,4.146,,,,,,,,,,,,,,,
02/01/2019 15:00,02/01/2019 15:00,2.585,,,,,,,,,,,,,,,
02/01/2019 16:00,02/01/2019 16:00,1.813,,,,,,,,,,,,,,,
02/01/2019 17:00,02/01/2019 17:00,1.552,,,,,,,,,,,,,,,
02/01/2019 18:00,02/01/2019 18:00,1.411,,,,,,,,,,,,,,,
02/01/2019 19:00,02/01/2019 19:00,1.381,,,,,,,,,,,,,,,
02/01/2019 20:00,02/01/2019 20:00,1.326,,,,,,,,,,,,,,,
02/01/2019 21:00,02/01/2019 21:00,1.129,,,,,,,,,,,,,,,
02/01/2019 22:00,02/01/2019 22:00,0.805,,,,,,,,,,,,,,,
02/01/2019 23:00,02/01/2019 23:00,0.461,,,,,,,,,,,,,,,
03/01/2019 00:00,03/01/2019 00:00,0.169,,,,,,,,,,,,,,,
03/01/2019 01:00,03/01/2019 01:00,-0.066,,,,,,,,,,,,,,,
03/01/2019 02:00,03/01/2019 02:00,-0.274,,,,,,,,,,,,,,,
03/01/2019 03:00,03/01/2019 03:00,-0.476,,,,,,,,,,,,,,,
03/01/2019 04:00,03/01/2019 04:00,-0.812,,,,,,,,,,,,,,,
03/01/2019 05:00,03/01/2019 05:00,-0.965,,,,,,,,,,,,,,,
03/01/2019 06:00,03/01/2019 06:00,-1.022,,,,,,,,,,,,,,,
03/01/2019 07:00,03/01/2019 07:00,-0.695,,,,,,,,,,,,,,,
03/01/2019 08:00,03/01/2019 08:00,-0.388,,,,,,,,,,,,,,,
03/01/2019 09:00,03/01/2019 09:00,0.565,,,,,,,,,,,,,,,
03/01/2019 10:00,03/01/2019 10:00,1.489,,,,,,,,,,,,,,,
03/01/2019 11:00,03/01/2019 11:00,2.553,,,,,,,,,,,,,,,
03/01/2019 12:00,03/01/2019 12:00,3.152,,,,,,,,,,,,,,,
